# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

p 2 0 864 56 2440 1017
p 2 0 883 37 2273 1023
p 2 0 878 42 2407 1024
p 2 0 857 63 2131 1007
p 2 0 880 40 2578 1041
i 2 920 0 0 18964 3235
p 2 0 428 492 586 518
p 2 0 391 529 503 484
p 2 0 183 737 321 312
p 2 0 174 746 296 293
p 2 0 80 840 234 222
p 2 0 73 847 222 213
p 2 0 13 907 174 169
p 2 0 24 896 180 176
p 2 0 25 895 190 177
p 2 0 31 889 196 183
p 2 0 18 902 176 173
p 2 0 27 893 195 180
p 2 0 21 899 184 175
p 2 0 5 915 163 161
p 2 0 15 905 174 169
p 2 0 18 902 173 171
p 2 0 8 912 164 163
p 2 0 5 915 165 162
p 2 0 3 917 164 161
p 2 0 4 916 163 161
p 2 0 19 901 178 173
p 2 0 12 908 177 168
p 2 0 13 907 167 167
p 2 0 3 917 160 160
p 2 0 17 903 172 170
p 2 0 9 911 167 165
p 2 0 18 902 177 172
p 2 0 4 916 162 161
p 2 0 3 917 164 161
p 2 0 3 917 160 160
p 2 0 0 920 157 157
p 2 0 1 919 158 158
p 2 0 5 915 162 162
p 2 0 3 917 161 160
p 2 0 3 917 160 160
p 2 0 1 919 158 158
p 2 0 5 915 161 161
p 2 0 2 918 160 160
p 2 0 3 917 160 160
p 2 0 2 918 158 158
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 1 919 158 158
p 2 0 1 919 158 158
p 2 0 4 916 163 161
p 2 0 4 916 162 161
p 2 0 0 920 157 157
i 2 920 0 0 54947 4186
p 2 0 755 165 7333 914
p 2 0 838 82 11165 1054
p 2 0 743 177 11223 974
p 2 0 772 148 12114 999
p 2 0 743 177 12323 989
p 2 0 751 169 13023 1025
p 2 0 740 180 12412 999
p 2 0 754 166 12796 1028
p 2 0 764 156 13132 1057
p 2 0 752 168 12976 1036
p 2 0 689 231 13073 1003
p 2 0 767 153 13236 1055
p 2 0 788 132 12781 1049
p 2 0 813 107 13360 1087
p 2 0 780 140 13333 1064
p 2 0 781 139 13012 1056
p 2 0 749 171 13387 1064
p 2 0 757 163 13309 1045
p 2 0 749 171 13133 1043
p 2 0 762 158 13186 1059
p 2 0 770 150 13411 1058
p 2 0 758 162 13277 1062
p 2 0 719 201 13156 1028
p 2 0 808 112 13663 1097
p 2 0 767 153 12992 1046
p 2 0 789 131 13370 1072
p 2 0 777 143 13497 1052
p 2 0 758 162 13445 1044
p 2 0 701 219 13513 1006
p 2 0 734 186 14006 1044
p 2 0 712 208 13641 1010
p 2 0 740 180 13662 1046
p 2 0 719 201 13805 1016
p 2 0 809 111 13567 1075
p 2 0 709 211 13671 1010
p 2 0 800 120 14106 1083
p 2 0 747 173 13531 1050
p 2 0 770 150 13851 1066
p 2 0 704 216 13876 1001
p 2 0 747 173 13730 1028
p 2 0 721 199 13862 1028
p 2 0 729 191 14045 1033
p 2 0 748 172 13575 1034
p 2 0 769 151 14199 1068
p 2 0 777 143 13932 1067
p 2 0 756 164 13995 1048
p 2 0 728 192 13790 1014
p 2 0 763 157 14256 1051
p 2 0 801 119 13749 1075
p 2 0 797 123 14269 1113
p 2 0 745 175 13813 1037
p 2 0 773 147 14037 1063
p 2 0 670 250 13958 989
p 2 0 749 171 14372 1041
p 2 0 711 209 13746 1009
p 2 0 758 162 14330 1067
p 2 0 729 191 13738 1033
p 2 0 769 151 13962 1066
p 2 0 673 247 13860 991
p 2 0 747 173 14344 1048
p 2 0 744 176 14188 1051
p 2 0 777 143 14023 1064
p 2 0 754 166 14053 1048
p 2 0 757 163 13942 1045
p 2 0 754 166 14114 1056
p 2 0 733 187 14017 1033
p 2 0 776 144 13901 1062
p 2 0 816 104 14031 1099
p 2 0 797 123 14067 1074
p 2 0 742 178 13888 1042
p 2 0 734 186 13772 1029
p 2 0 787 133 14328 1078
p 2 0 734 186 13782 1015
p 2 0 803 117 13895 1080
p 2 0 717 203 13816 1019
p 2 0 786 134 13787 1061
p 2 0 731 189 13832 1025
p 2 0 742 178 14005 1038
p 2 0 729 191 13680 1017
p 2 0 771 149 13938 1060
p 2 0 736 184 13939 1028
p 2 0 745 175 13664 1036
p 2 0 708 212 13931 999
p 2 0 791 129 14059 1071
p 2 0 756 164 14233 1059
p 2 0 757 163 13771 1038
p 2 0 754 166 13614 1027
p 2 0 729 191 14137 1033
p 2 0 711 209 13696 1012
p 2 0 768 152 13543 1046
p 2 0 772 148 14007 1047
p 2 0 731 189 14011 1022
p 2 0 723 197 13729 1011
p 2 0 705 215 13870 1010
p 2 0 733 187 13246 1002
i 2 920 0 0 41870 4303
p 2 0 911 9 14859 1267
p 2 0 917 3 14514 1324
p 2 0 917 3 13724 1283
p 2 0 917 3 15428 1383
p 2 0 919 1 14586 1331
p 2 0 915 5 15532 1421
p 2 0 919 1 14041 1321
p 2 0 918 2 15398 1403
p 2 0 919 1 14974 1338
p 2 0 915 5 15410 1384
p 2 0 919 1 14746 1344
p 2 0 917 3 15211 1387
p 2 0 920 0 14272 1339
p 2 0 917 3 15284 1437
p 2 0 920 0 15965 1416
p 2 0 918 2 14874 1458
p 2 0 918 2 15946 1428
p 2 0 915 5 16259 1439
p 2 0 914 6 16530 1397
p 2 0 916 4 15975 1431
p 2 0 917 3 16940 1396
p 2 0 917 3 15937 1446
p 2 0 917 3 16754 1448
p 2 0 920 0 14796 1493
p 2 0 919 1 14421 1467
p 2 0 918 2 14416 1479
p 2 0 919 1 13818 1423
p 2 0 917 3 14219 1407
p 2 0 919 1 14874 1389
p 2 0 917 3 16730 1423
p 2 0 914 6 15265 1388
p 2 0 918 2 13266 1356
p 2 0 916 4 10059 1235
p 2 0 917 3 9225 1209
p 2 0 917 3 4019 1147
p 2 0 917 3 6345 1179
p 2 0 917 3 14873 1338
p 2 0 910 10 14297 1369
p 2 0 913 7 13390 1378
p 2 0 916 4 12953 1397
p 2 0 914 6 13767 1420
p 2 0 882 38 16193 1395
p 2 0 894 26 12597 1281
p 2 0 893 27 12134 1222
p 2 10 827 83 13289 1164
p 2 0 794 126 6748 998
p 2 0 601 319 2374 749
p 2 23 374 523 7792 714
p 2 0 312 608 933 451
p 2 0 230 690 643 369
p 2 39 237 644 9549 684
p 2 0 158 762 544 311
p 2 0 111 809 381 263
p 2 40 137 743 14124 710
p 2 0 142 778 554 293
p 2 0 67 853 279 215
p 2 0 58 862 276 208
p 2 0 54 866 260 204
p 2 0 101 819 480 253
i 2 920 0 0 19718 4378
p 2 530 390 0 24065 4401
